,total_sqft,bath,price,site_location,bhk
2820,1639.0,3.0,107.0,Fergusson College Road,3
2823,1400.0,2.0,105.0,Fergusson College Road,2
2824,1225.0,2.0,71.05,Fergusson College Road,2
2826,3758.0,3.0,300.0,Fergusson College Road,3
2827,650.0,2.0,45.0,Fergusson College Road,2
2829,450.0,1.0,20.0,Fergusson College Road,1
2832,1276.0,2.0,69.5,Fergusson College Road,2
2833,2153.0,4.0,120.0,Fergusson College Road,3
2834,1515.0,3.0,80.5,Fergusson College Road,3
2835,1175.0,2.0,86.68,Fergusson College Road,2
2839,1408.0,3.0,80.0,Fergusson College Road,3
2840,1881.0,3.0,115.0,Fergusson College Road,3
2841,1379.0,2.0,85.0,Fergusson College Road,2
2842,510.0,1.0,22.0,Fergusson College Road,1
2844,589.0,1.0,27.0,Ganesh Peth,1
2846,1062.0,2.0,38.0,Ganesh Peth,2
2847,1500.0,3.0,139.0,Ganesh Peth,3
2848,1275.0,2.0,52.0,Ganesh Peth,2
2849,4500.0,5.0,415.0,Ganesh Peth,5
2850,1220.0,2.0,56.5,Ganesh Peth,2
2851,1470.0,2.0,88.64,Ganesh Peth,3
2852,1200.0,2.0,55.0,Ganesh Peth,2
2853,999.0,2.0,45.0,Ganesh Peth,2
2854,1160.0,2.0,44.08,Ganesh Peth,2
2855,2710.0,3.0,251.0,Ganesh Peth,3
2856,1243.0,2.0,58.0,Ganesh Peth,2
2857,1098.0,2.0,72.0,Ganesh Peth,2
2858,1180.0,2.0,50.0,Ganesh Peth,2
2859,1320.0,2.0,110.0,Ganesh Peth,4
2861,1200.0,2.0,66.0,Ganesh Peth,3
2863,1726.0,3.0,145.0,Ganesh Peth,3
2864,1634.0,3.0,83.33,Ganesh Peth,3
2865,1210.0,2.0,72.0,Ganesh Peth,2
2866,1043.0,2.0,65.0,Ganesh Peth,2
2867,1020.0,2.0,42.48,Ganesh Peth,2
2868,1818.0,3.0,135.0,Ganesh Peth,3
2869,1259.0,2.0,67.4,Ganesh Peth,2
2870,1817.0,4.0,153.0,Ganesh Peth,3
2872,1160.0,2.0,46.39,Ganesh Peth,2
2873,1070.0,2.0,37.45,Ganesh Peth,2
2874,1920.0,3.0,150.0,Ganesh Peth,3
2875,1290.0,2.0,80.0,Ganesh Peth,2
2877,2094.0,2.0,113.19,Ganesh Peth,3
2878,1428.0,2.0,80.0,Ganesh Peth,3
2881,1804.0,3.0,102.0,Ganesh Peth,3
2882,3035.0,5.0,271.0,Ganesh Peth,3
2883,1205.0,2.0,70.0,Ganesh Peth,2
2884,1090.0,2.0,35.03,Ganesh Peth,2
2885,1884.0,3.0,98.0,Ganesh Peth,3
2886,1340.0,2.0,60.0,Ganesh Peth,2
2887,2792.0,4.0,220.0,Ganesh Peth,4
2888,1050.0,2.0,52.5,Ganesh Peth,2
2890,1760.0,3.0,160.0,Ganesh Peth,3
2891,1650.0,3.0,100.0,Ganesh Peth,3
2892,1295.0,2.0,95.0,Ganesh Peth,2
2893,1133.0,2.0,38.41,Ganesh Peth,2
2894,1243.0,2.0,46.0,Ganesh Peth,2
2895,1201.0,2.0,59.99,Ganesh Peth,2
2896,1910.0,3.0,142.0,Ganesh Peth,3
2897,1250.0,2.0,58.0,Ganesh Peth,2
2898,1178.0,2.0,75.0,Ganesh Peth,2
2899,3664.0,3.0,325.0,Ganesh Peth,3
2900,1200.0,2.0,45.0,Ganesh Peth,2
2901,2500.0,5.0,125.0,Ganesh Peth,5
2903,1060.0,2.0,35.0,Ganesh Peth,2
2904,2650.0,4.0,199.0,Ganesh Peth,3
2905,2023.0,4.0,130.0,Ganesh Peth,3
2906,1220.0,2.0,52.0,Ganesh Peth,2
2907,1724.0,3.0,125.0,Ganesh Peth,3
2909,1044.0,2.0,85.0,Ganesh Peth,2
2910,1190.0,2.0,60.0,Ganesh Peth,2
2911,1300.0,2.0,60.0,Ganesh Peth,2
2912,1046.0,2.0,49.06,Ganesh Peth,2
2913,1000.0,2.0,51.0,Ganesh Peth,2
2914,1683.0,3.0,140.0,Ganesh Peth,3
2916,1532.5,3.0,79.465,Ganesh Peth,3
2917,1500.0,3.0,90.0,Ganesh Peth,3
2920,1237.5,2.0,49.49,Ganesh Peth,2
2921,1760.0,3.0,110.0,Ganesh Peth,3
2922,1165.0,2.0,49.61,Ganesh Peth,2
2924,1203.0,2.0,72.0,Ganesh Peth,2
2927,1537.0,3.0,81.0,Ganesh Peth,3
2928,1175.0,2.0,62.0,Ganesh Peth,2
2930,814.0,2.0,53.0,Ganesh Peth,2
2931,658.0,1.0,26.91,Ganesh Peth,1
2932,1839.0,3.0,130.0,Ganesh Peth,3
2933,672.0,1.0,36.85,Ganesh Peth,1
2934,850.0,2.0,42.5,Ganesh Peth,2
2936,3600.0,6.0,170.0,Ganesh Peth,6
2937,1080.0,2.0,53.0,Ganesh Peth,2
2938,1270.0,2.0,96.0,Ganesh Peth,2
2939,1275.0,2.0,59.0,Ganesh Peth,2
2940,2035.0,3.0,142.0,Ganesh Peth,3
2941,1205.0,2.0,45.79,Ganesh Peth,2
2943,1315.0,2.0,77.0,Ganesh Peth,2
2944,600.0,1.0,22.8,Ganesh Peth,1
2946,1210.0,2.0,60.0,Ganesh Peth,2
2947,1200.0,3.0,75.0,Ganesh Peth,3
2948,1005.0,2.0,45.0,Ganesh Peth,2
2949,943.0,2.0,49.5,Ganesh Peth,2
2950,1121.0,2.0,75.0,Ganesh Peth,2
2951,1153.0,2.0,60.0,Ganesh Peth,2
2953,5611.5,4.0,477.0,Ganeshkhind,4
2954,1415.0,3.0,78.0,Ganeshkhind,3
2957,834.0,1.0,60.0,Ganeshkhind,1
2959,1356.0,2.0,66.0,Ganeshkhind,3
2961,500.0,1.0,14.0,Ganeshkhind,1
2963,1250.0,2.0,62.0,Ganeshkhind,2
2964,3040.0,1.0,180.0,Ganeshkhind,2
2965,1530.0,2.0,74.39,Ganeshkhind,3
2966,1725.0,2.0,100.0,Ganeshkhind,3
2968,1600.0,3.0,88.0,Ganeshkhind,3
2969,1670.0,3.0,120.0,Ganeshkhind,3
2970,1352.0,2.0,87.5,Ganeshkhind,2
2972,1635.0,2.0,85.0,Ganeshkhind,3
2973,1352.0,2.0,85.0,Ganeshkhind,2
2976,1610.0,3.0,115.0,Ganeshkhind,3
2982,1000.0,2.0,57.0,Ganeshkhind,2
2984,1195.0,2.0,70.0,Ganeshkhind,2
2986,607.0,1.0,35.0,Ganeshkhind,1
2988,1200.0,5.0,92.0,Ganeshkhind,4
2989,2928.0,4.0,198.0,Ganeshkhind,4
2990,1600.0,3.0,88.0,Ganeshkhind,2
2991,750.0,1.0,25.5,Ganeshkhind,1
2995,700.0,1.0,59.0,Ganeshkhind,1
2999,4100.0,3.0,300.0,Ganeshkhind,4
3000,1760.0,2.0,116.0,Ganeshkhind,3
3004,1238.0,2.0,67.32,Ganeshkhind,2
3007,1542.0,3.0,98.0,Ganeshkhind,3
3008,3600.0,6.0,200.0,Ganeshkhind,6
3010,2000.0,2.0,160.0,Ganeshkhind,4
3011,2400.0,2.0,125.0,Ganeshkhind,2
3012,1970.0,3.0,164.0,Ganeshkhind,3
3013,1216.0,2.0,67.0,Ganeshkhind,2
3014,1300.0,2.0,100.0,Ganeshkhind,2
3016,1550.0,2.0,80.0,Ganeshkhind,3
3018,630.0,1.0,35.0,Ganeshkhind,1
3019,3500.0,5.0,350.0,Ganeshkhind,5
3021,410.0,1.0,15.0,Ganeshkhind,1
3022,2200.0,3.0,160.0,Ganeshkhind,3
3023,1147.0,2.0,75.0,Ganeshkhind,2
3024,1131.0,2.0,55.975,Ganeshkhind,2
3025,3150.0,4.0,218.0,Ganeshkhind,4
3026,1719.0,3.0,110.0,Ganeshkhind,3
3027,1780.0,3.0,88.0,Ganeshkhind,3
3028,3800.0,4.0,235.0,Ganeshkhind,4
3029,1623.0,3.0,155.0,Ganeshkhind,3
3030,1500.0,2.0,87.0,Ganeshkhind,4
3032,1645.0,3.0,113.0,Ganeshkhind,3
3033,1350.0,2.0,103.0,Ganeshkhind,2
3034,661.0,1.0,33.0,Ganeshkhind,1
3035,1345.0,2.0,69.0,Ganeshkhind,3
3039,896.9,2.0,78.74,Ganeshkhind,2
3041,1746.0,3.0,115.0,Ganeshkhind,3
3042,1880.0,3.0,110.0,Ganeshkhind,3
3044,943.0,2.0,48.0,Ganeshkhind,2
3048,633.0,1.0,17.09,Ganeshkhind,1
3049,1368.0,2.0,87.0,Ganeshkhind,2
3050,1241.0,2.0,68.0,Ganeshkhind,3
3052,2135.0,3.0,170.0,Ganeshkhind,3
3053,1250.0,2.0,65.0,Ganeshkhind,2
3054,2321.0,4.0,157.0,Ganeshkhind,3
3055,602.0,2.0,30.0,Ganeshkhind,1
3056,1650.0,3.0,125.0,Ganeshkhind,3
3057,1155.0,2.0,69.18,Ganeshkhind,2
3058,30400.0,4.0,1824.0,Ganeshkhind,6
3060,1200.0,2.0,75.0,Ganeshkhind,2
3062,1610.0,3.0,81.0,Ghorpade Peth,3
3064,1787.0,3.0,98.29,Ghorpade Peth,3
3067,1125.0,4.0,70.0,Ghorpade Peth,3
3068,1500.0,2.0,87.0,Ghorpade Peth,3
3069,1400.0,2.0,77.0,Ghorpade Peth,3
3071,1891.0,3.0,109.0,Ghorpade Peth,3
3073,697.0,1.0,45.0,Ghorpade Peth,1
3074,1200.0,3.0,130.0,Ghorpade Peth,3
3075,1790.0,3.0,127.0,Ghorpade Peth,3
3077,2070.0,3.0,162.0,Ghorpade Peth,3
3078,4000.0,4.0,330.0,Ghorpade Peth,4
3080,3500.0,6.0,225.0,Ghorpade Peth,4
3082,1754.0,3.0,125.0,Ghorpade Peth,3
3083,1605.0,3.0,85.0,Ghorpade Peth,3
3084,1404.0,2.0,75.0,Ghorpade Peth,2
3085,1145.0,2.0,65.0,Ghorpade Peth,2
3086,11338.0,9.0,1000.0,Ghorpade Peth,6
3087,1352.5,2.0,93.865,Ghorpade Peth,2
3088,700.0,1.0,41.0,Ghorpade Peth,1
3090,3850.0,5.0,316.0,Ghorpade Peth,3
3093,2408.0,4.0,260.0,Ghorpade Peth,3
3094,1315.0,2.0,85.4,Ghorpade Peth,3
3095,1208.0,2.0,70.0,Ghorpade Peth,2
3096,1100.0,2.0,56.1,Ghorpade Peth,2
3097,1645.0,3.0,135.0,Ghorpade Peth,3
3098,1374.0,3.0,68.0,Ghorpade Peth,3
3099,2000.0,3.0,185.0,Ghorpade Peth,3
3102,3252.0,4.0,280.0,Ghorpade Peth,4
3104,1280.0,2.0,75.0,Ghorpade Peth,2
3106,1145.0,2.0,75.0,Ghorpade Peth,2
3107,2162.0,3.0,200.0,Ghorpade Peth,3
3114,1800.0,3.0,105.0,Ghorpade Peth,6
3115,1075.0,2.0,52.0,Ghorpade Peth,3
3118,814.0,2.0,42.0,Ghorpade Peth,2
3122,1750.0,3.0,86.5,Ghorpade Peth,3
3123,1418.0,2.0,105.0,Ghorpade Peth,2
3124,605.0,1.0,40.0,Ghorpade Peth,1
3125,1178.0,2.0,82.0,Ghorpade Peth,2
3127,1541.0,2.0,130.0,Ghorpade Peth,2
3129,3990.0,4.0,260.0,Ghorpade Peth,4
3130,654.0,1.0,36.25,Ghorpade Peth,1
3132,1655.0,3.0,97.0,Ghorpade Peth,3
3134,1345.0,2.0,97.0,Ghorpade Peth,2
3138,1007.0,2.0,75.0,Ghorpade Peth,2
3140,1240.0,2.0,63.0,Ghorpade Peth,3
3141,1855.0,3.0,140.0,Ghorpade Peth,3
3144,1350.0,2.0,88.0,Ghorpade Peth,2
3145,1636.0,3.0,83.0,Ghorpade Peth,3
3149,1305.0,2.0,110.0,Ghorpade Peth,3
3151,800.0,2.0,55.0,Ghorpade Peth,2
3154,1115.0,2.0,61.0,Ghorpade Peth,2
3155,625.0,1.0,27.0,Ghorpade Peth,1
3158,2215.0,4.0,162.0,Ghorpade Peth,3
3160,1495.0,3.0,90.0,Ghorpade Peth,3
3161,485.0,1.0,19.5,Ghorpade Peth,1
3162,420.0,1.0,12.5,Ghorpade Peth,1
3164,950.0,2.0,55.0,Ghorpade Peth,2
3167,1200.0,2.0,120.0,Ghorpade Peth,2
3168,540.0,1.0,24.0,Ghorpade Peth,1
3169,1035.0,2.0,60.0,Ghorpade Peth,2
3170,3124.0,6.0,349.0,Ghorpade Peth,4
3172,1282.0,2.0,68.52,Ghorpadi,3
3173,750.0,2.0,38.0,Ghorpadi,2
3174,883.0,2.0,45.0,Ghorpadi,2
3175,1222.0,2.0,63.0,Ghorpadi,2
3176,1200.0,2.0,66.0,Ghorpadi,3
3177,1600.0,3.0,90.0,Ghorpadi,3
3178,710.0,1.0,27.0,Ghorpadi,1
3179,957.0,2.0,56.0,Ghorpadi,2
3181,1128.0,2.0,65.65,Ghorpadi,2
3182,1427.0,2.0,80.63,Ghorpadi,3
3184,1128.0,2.0,75.0,Ghorpadi,2
3188,1560.0,3.0,85.0,Ghorpadi,3
3189,3400.0,3.0,210.0,Ghorpadi,4
3194,1125.0,2.0,75.0,Ghorpadi,2
3200,1140.0,2.0,65.0,Ghorpadi,2
3201,1400.0,2.0,78.0,Ghorpadi,2
3202,4500.0,5.0,300.0,Ghorpadi,4
3205,624.0,1.0,35.0,Ghorpadi,1
3206,1608.0,2.0,85.0,Ghorpadi,2
3207,1255.0,3.0,77.68,Ghorpadi,3
3208,1200.0,3.0,67.77,Ghorpadi,3
3209,1300.0,2.0,63.0,Ghorpadi,3
3213,1200.0,2.0,67.0,Ghorpadi,2
3214,1793.0,3.0,98.0,Ghorpadi,3
3215,1200.0,3.0,67.0,Ghorpadi,3
3216,1180.0,2.0,58.0,Ghorpadi,2
3219,1100.0,1.0,55.0,Ghorpadi,2
3226,1163.0,2.0,65.0,Ghorpadi,2
3228,1331.0,2.0,88.0,Ghorpadi,2
3230,1200.0,3.0,70.0,Ghorpadi,3
3231,2130.0,4.0,120.0,Ghorpadi,4
3232,1495.0,2.0,83.0,Ghorpadi,2
3234,1200.0,3.0,56.12,Ghorpadi,3
3236,1325.0,2.0,73.0,Ghorpadi,2
3237,1012.0,2.0,53.58,Ghorpadi,2
3238,800.0,1.0,39.99,Ghorpadi,1
3239,3855.0,4.0,220.0,Ghorpadi,4
3241,1100.0,2.0,55.0,Ghorpadi,2
3242,1350.0,4.0,90.0,Ghorpadi,4
3244,2557.0,2.0,170.0,Ghorpadi,4
3245,1384.0,2.0,76.18,Ghorpadi,3
3246,450.0,1.0,20.0,Ghorpadi,1
3247,1787.0,3.0,116.0,Ghorpadi,3
3249,3075.0,2.0,188.0,Ghorpadi,4
3251,933.0,1.0,61.0,Ghorpadi,1
3253,1060.0,2.0,52.0,Ghorpadi,2
3255,418.0,1.0,17.0,Ghorpadi,1
3261,1747.0,3.0,110.0,Ghorpadi,3
3262,960.0,2.0,48.0,Ghorpadi,2
3265,2500.0,8.0,95.0,Ghorpadi,7
3266,1150.0,2.0,57.0,Ghorpadi,2
3267,1835.0,3.0,89.0,Ghorpadi,3
3269,755.0,1.0,30.12,Ghorpadi,1
3270,1182.0,2.0,64.0,Ghorpadi,2
3271,1500.0,3.0,71.0,Ghorpadi,3
3274,1475.0,2.0,90.0,Gokhale Nagar,3
3275,1280.0,2.0,75.0,Gokhale Nagar,2
3276,1195.0,2.0,70.0,Gokhale Nagar,2
3282,1835.0,2.0,155.0,Gokhale Nagar,3
3283,1180.0,2.0,70.0,Gokhale Nagar,2
3285,3900.0,4.0,300.0,Gokhale Nagar,4
3286,1691.0,3.0,119.0,Gokhale Nagar,3
3287,1050.0,2.0,57.0,Gokhale Nagar,3
3288,3012.0,6.0,268.0,Gokhale Nagar,4
3290,2200.0,3.0,190.0,Gokhale Nagar,3
3292,1550.0,3.0,120.0,Gokhale Nagar,3
3293,1420.0,2.0,123.0,Gokhale Nagar,2
3294,1670.0,3.0,135.0,Gokhale Nagar,4
3295,800.0,1.0,52.0,Gokhale Nagar,1
3297,1665.0,3.0,110.0,Gokhale Nagar,3
3300,1127.0,2.0,68.0,Gokhale Nagar,2
3302,1725.0,3.0,130.0,Gokhale Nagar,3
3303,1200.0,2.0,75.0,Gokhale Nagar,2
3315,1255.0,2.0,120.0,Gokhale Nagar,2
3317,712.0,1.0,38.44,Gokhale Nagar,1
3319,1416.0,3.0,94.0,Gokhale Nagar,3
3322,840.0,2.0,50.0,Gokhale Nagar,1
3324,690.0,2.0,42.0,Gokhale Nagar,2
3326,1650.0,3.0,110.0,Gokhale Nagar,3
3332,1749.0,3.0,120.0,Gokhale Nagar,3
3334,2072.0,4.0,152.0,Gokhale Nagar,3
3335,1200.0,3.0,68.38,Gokhale Nagar,3
3337,1180.0,2.0,86.0,Gokhale Nagar,2
3338,1000.0,2.0,70.0,Gokhale Nagar,2
3339,1830.0,3.0,119.0,Gokhale Nagar,3
3341,1400.0,2.0,80.0,Gokhale Nagar,3
3344,1080.0,2.0,64.0,Gokhale Nagar,2
3345,682.0,1.0,36.23,Gokhale Nagar,1
3346,492.0,1.0,40.0,Gokhale Nagar,1
3347,1332.0,2.0,101.0,Gokhale Nagar,2
3348,551.0,1.0,30.0,Gokhale Nagar,1
3350,3170.0,4.0,250.0,Gokhale Nagar,4
3352,1050.0,2.0,41.0,Gokhale Nagar,1
3353,2400.0,3.0,220.0,Gokhale Nagar,3
3354,1705.0,3.0,91.0,Gokhale Nagar,3
3355,1026.0,2.0,60.55,Gokhale Nagar,2
3357,2289.0,3.0,180.0,Gokhale Nagar,3
3358,2041.0,3.0,138.0,Gokhale Nagar,3
3359,3600.0,9.0,125.0,Gokhale Nagar,8
3360,1200.0,3.0,80.0,Gokhale Nagar,3
3362,2500.0,4.0,225.0,Gokhale Nagar,4
3364,3150.0,5.0,212.0,Gokhale Nagar,4
3366,1200.0,2.0,82.0,Gokhale Nagar,2
3369,1625.0,3.0,92.0,Gokhale Nagar,3
3370,1660.0,3.0,104.0,Gokhale Nagar,3
3372,1200.0,4.0,100.0,Gokhale Nagar,4
3376,1735.0,3.0,97.0,Gokhale Nagar,3
3378,2038.5,3.0,122.0,Gokhale Nagar,3
3379,1420.0,3.0,90.0,Gokhale Nagar,3
3381,2475.0,4.0,186.0,Gultekdi,4
3384,1170.0,2.0,52.0,Gultekdi,2
3386,891.0,2.0,25.0,Gultekdi,2
3387,5600.0,2.0,548.5,Gultekdi,5
3388,1185.0,2.0,42.6,Gultekdi,2
3389,1180.0,2.0,69.0,Gultekdi,2
3390,649.5,1.0,17.535,Gultekdi,1
3392,1050.0,2.0,67.0,Gultekdi,2
3394,1450.0,2.0,85.0,Gultekdi,3
3396,1000.0,2.0,28.88,Gultekdi,2
3398,3675.0,4.0,367.0,Gultekdi,4
3399,1238.0,2.0,67.0,Gultekdi,2
3400,1703.0,3.0,101.0,Gultekdi,3
3402,1575.0,4.0,150.0,Gultekdi,5
3403,3035.0,5.0,200.0,Gultekdi,4
3404,1020.0,2.0,39.0,Gultekdi,2
3405,30000.0,4.0,2100.0,Gultekdi,4
3407,2250.0,3.0,195.0,Gultekdi,3
3408,1430.0,2.0,113.0,Gultekdi,2
3409,1234.0,2.0,61.0,Gultekdi,2
3410,1468.0,3.0,130.0,Gultekdi,2
3411,1050.0,2.0,41.0,Gultekdi,2
3412,1020.0,2.0,29.46,Gultekdi,2
3413,1397.0,3.0,104.0,Gultekdi,3
3414,888.0,2.0,34.0,Gultekdi,2
3415,927.0,2.0,37.0,Gultekdi,2
3416,1937.0,3.0,140.0,Gultekdi,3
3418,1180.0,2.0,36.5,Gultekdi,2
3419,1155.0,2.0,60.0,Gultekdi,3
3420,2600.0,3.0,237.0,Gultekdi,3
3421,3445.0,5.0,270.0,Gultekdi,4
3422,1080.0,2.0,35.0,Gultekdi,2
3423,3960.0,5.0,386.0,Gultekdi,4
3425,1257.0,2.0,69.0,Gultekdi,2
3426,1230.0,2.0,66.25,Gultekdi,2
3427,1134.0,2.0,45.36,Gultekdi,2
3428,1250.0,2.0,40.0,Gultekdi,2
3429,1250.0,2.0,59.0,Gultekdi,2
3432,1385.0,2.0,65.0,Gultekdi,2
3433,1020.0,2.0,41.82,Gultekdi,2
3435,656.0,1.0,43.0,Gultekdi,1
3436,2648.0,5.0,251.5,Gultekdi,4
3437,1302.5,2.0,67.73,Gultekdi,2
3438,1628.0,2.0,68.0,Gultekdi,2
3440,2502.0,4.0,180.0,Gultekdi,4
3441,750.0,2.0,36.0,Gultekdi,2
3442,1200.0,4.0,130.0,Gultekdi,4
3443,539.0,1.0,45.0,Gultekdi,1
3444,1639.0,3.0,120.0,Gultekdi,3
3445,1800.0,3.0,95.0,Gultekdi,3
3446,1115.0,2.0,43.0,Gultekdi,2
3447,1093.0,2.0,72.0,Gultekdi,2
3448,450.0,1.0,16.0,Gultekdi,1
3449,1650.0,3.0,85.0,Gultekdi,3
3451,1260.0,2.0,108.0,Gultekdi,2
3452,2501.0,3.0,138.0,Gultekdi,3
3453,1240.0,2.0,58.58,Gultekdi,2
3454,1000.0,2.0,43.0,Gultekdi,2
3455,1020.0,2.0,48.45,Gultekdi,2
3456,1345.0,2.0,108.0,Gultekdi,2
3458,1394.0,2.0,56.0,Gultekdi,2
3459,1077.0,2.0,50.0,Gultekdi,2
3460,1120.0,2.0,36.0,Gultekdi,2
3462,2266.0,3.0,207.0,Gultekdi,3
3463,1120.0,2.0,49.0,Gultekdi,2
3465,1010.0,2.0,40.4,Gultekdi,2
3466,600.0,1.0,27.0,Gultekdi,2
3467,2065.0,4.0,248.0,Gultekdi,4
3468,4800.0,4.0,420.0,Gultekdi,4
3471,3700.0,4.0,325.0,Gultekdi,4
3472,1050.0,2.0,38.0,Gultekdi,2
3473,972.0,2.0,40.0,Gultekdi,2
3475,1050.0,2.0,51.66,Gultekdi,2
3476,1760.0,3.0,160.0,Gultekdi,3
3477,1839.0,3.0,160.0,Gultekdi,3
3478,2316.0,3.0,125.0,Gultekdi,3
3479,1250.0,2.0,65.0,Gultekdi,2
3480,1050.0,2.0,125.0,Gultekdi,2
3481,1650.0,2.0,140.0,Gultekdi,4
3482,1200.0,2.0,43.0,Gultekdi,2
3483,1279.0,2.0,100.0,Gultekdi,2
3484,1200.0,2.0,78.0,Gultekdi,2
3485,1075.0,2.0,53.7,Gultekdi,2
3486,660.0,1.0,18.0,Gultekdi,2
3487,1960.0,3.0,165.0,Gultekdi,3
3488,1053.0,2.0,51.0,Gultekdi,2
3489,2275.0,4.0,187.0,Gultekdi,3
3490,1050.0,2.0,58.0,Gultekdi,2
3491,2200.0,4.0,150.0,Gultekdi,3
3492,1299.0,2.0,58.0,Gultekdi,2
3493,940.0,2.0,32.9,Gultekdi,2
3495,850.0,2.0,45.0,Gultekdi,2
3497,1200.0,4.0,110.0,Gultekdi,4
3498,1730.0,3.0,175.0,Gultekdi,3
3499,450.0,1.0,20.0,Gultekdi,1
3500,1367.0,2.0,80.0,Gultekdi,2
3501,1232.0,2.0,94.28,Gultekdi,2
3502,600.0,1.0,65.0,Gultekdi,2
3504,945.0,2.0,54.0,Guruwar peth,2
3507,1760.0,3.0,88.0,Guruwar peth,3
3508,700.0,1.0,41.0,Guruwar peth,1
3510,1580.0,3.0,76.0,Guruwar peth,3
3511,1779.0,3.0,112.0,Guruwar peth,3
3513,2400.0,6.0,125.0,Guruwar peth,8
3515,1565.0,3.0,88.5,Guruwar peth,3
3516,1519.0,3.0,93.0,Guruwar peth,3
3517,340.0,1.0,10.0,Guruwar peth,1
3518,1418.0,2.0,95.0,Guruwar peth,2
3519,1305.0,3.0,95.45,Guruwar peth,3
3520,1210.0,2.0,58.0,Guruwar peth,3
3521,1470.0,2.0,90.0,Guruwar peth,3
3522,2400.0,7.0,110.0,Guruwar peth,6
3524,1533.0,3.0,85.0,Guruwar peth,3
3525,3600.0,4.0,365.0,Guruwar peth,4
3526,1590.0,2.0,125.0,Guruwar peth,3
3527,1900.0,3.0,160.0,Guruwar peth,3
3528,1069.0,3.0,65.4,Guruwar peth,3
3529,1200.0,3.0,90.0,Guruwar peth,3
3531,2430.0,4.0,180.0,Guruwar peth,3
3532,1340.0,2.0,64.31,Guruwar peth,3
3533,1555.0,2.0,82.0,Guruwar peth,3
3539,1574.0,3.0,93.34,Guruwar peth,3
3541,1725.0,3.0,85.0,Guruwar peth,3
3543,1400.0,2.0,80.0,Guruwar peth,2
3544,1200.0,2.0,68.0,Guruwar peth,3
3548,780.0,1.0,55.0,Guruwar peth,1
3550,1221.0,3.0,72.0,Guruwar peth,3
3551,1575.0,2.0,90.0,Guruwar peth,2
3556,1200.0,1.0,95.0,Guruwar peth,2
3557,583.0,1.0,26.9,Guruwar peth,1
3560,1200.0,4.0,85.0,Guruwar peth,4
3561,1870.0,3.0,138.0,Guruwar peth,3
3563,1680.0,4.0,95.0,Guruwar peth,3
3566,834.0,1.0,62.0,Guruwar peth,1
3567,1108.0,2.0,74.23,Guruwar peth,2
3568,381.0,1.0,28.0,Guruwar peth,1
3569,1636.0,3.0,92.0,Guruwar peth,3
3570,1565.0,3.0,98.91,Guruwar peth,3
3572,1880.0,3.0,120.0,Guruwar peth,3
3574,1450.0,2.0,85.0,Guruwar peth,3
3575,672.0,1.0,27.0,Guruwar peth,1
3577,660.0,1.0,23.0,Guruwar peth,1
3580,1650.0,3.0,85.5,Guruwar peth,3
3582,1200.0,2.0,75.0,Guruwar peth,2
3583,1012.0,2.0,59.0,Guruwar peth,2
3584,1700.0,3.0,126.0,Guruwar peth,3
3587,1252.0,3.0,70.0,Guruwar peth,3
3588,1691.0,3.0,93.01,Guruwar peth,3
3590,1460.0,3.0,76.0,Guruwar peth,3
3591,1715.0,3.0,112.0,Guruwar peth,3
3592,1660.0,3.0,131.0,Guruwar peth,3
3593,4000.0,8.0,150.0,Guruwar peth,7
3602,2569.0,5.0,180.0,Guruwar peth,4
3603,1400.0,2.0,90.0,Guruwar peth,2
3604,3200.0,5.0,309.0,Guruwar peth,4
3605,1419.0,3.0,85.0,Guruwar peth,3
3607,1607.0,2.0,112.0,Guruwar peth,3
3608,953.0,2.0,90.0,Guruwar peth,2
3611,1392.0,2.0,110.0,Guruwar peth,2
3613,1855.0,3.0,96.0,Guruwar peth,3
3614,1684.0,3.0,86.0,Guruwar peth,3
3618,1760.0,2.0,123.0,Hadapsar,3
3619,1500.0,2.0,78.0,Hadapsar,2
3621,1385.0,2.0,83.09,Hadapsar,2
3622,1125.0,2.0,62.0,Hadapsar,2
3623,1246.0,2.0,67.0,Hadapsar,2
3625,1092.0,2.0,98.5,Hadapsar,3
3627,1070.0,2.0,42.79,Hadapsar,2
3628,1200.0,2.0,35.0,Hadapsar,2
3629,1190.0,2.0,57.0,Hadapsar,2
3631,2000.0,3.0,166.0,Hadapsar,4
3633,1232.0,2.0,89.0,Hadapsar,2
3634,920.0,2.0,35.0,Hadapsar,2
3635,1025.0,2.0,29.6,Hadapsar,2
3636,1035.0,2.0,45.0,Hadapsar,2
3637,1000.0,1.0,55.0,Hadapsar,2
3639,1720.0,3.0,134.0,Hadapsar,3
3640,1168.0,2.0,61.0,Hadapsar,2
3641,1050.0,2.0,36.75,Hadapsar,2
3643,1900.0,3.0,123.0,Hadapsar,3
3644,1804.0,3.0,121.0,Hadapsar,3
3645,2002.0,3.0,112.0,Hadapsar,3
3646,1170.0,2.0,46.79,Hadapsar,2
3647,1000.0,2.0,30.0,Hadapsar,2
3648,1575.0,5.0,158.0,Hadapsar,4
3649,532.0,1.0,22.49,Hadapsar,1
3650,923.0,1.0,45.69,Hadapsar,1
3651,1080.0,2.0,39.0,Hadapsar,2
3652,965.0,1.0,32.0,Hadapsar,1
3654,700.0,2.0,40.0,Hadapsar,2
3656,1110.0,2.0,33.0,Hadapsar,2
3657,1200.0,2.0,45.0,Hadapsar,2
3659,1220.0,2.0,80.0,Hadapsar,2
